"thread_id","thread_name","thread_description","author"
20,"I hope this works.","Trying to get the board up and running","Floyd"
41,"Why can't I integrate this...","y = x^2","carl"
42,"Why doesn't this system integrate by parts","????","carl"
43,"I love math","????","carl"
44,"How do I integrate sin(x)","","paul"
45,"How do I integrate sin(x)","","paul"
46,"How do I integrate sin(x)","","paul"
47,"How do I integrate sin(x)","","paul"
48,"How do I integrate sin(x)","","paul"
49,"How do I integrate sin(x)","","paul"
